CtsUrn	VisualEvidence
urn:cts:greekLit:tlg5026.msAint.hmt:6.166	urn:cite:hmt:vaimg.VA081VN-0584@0.85298452,0.52268326,0.04458364,0.03042877
urn:cts:greekLit:tlg5026.msAint.hmt:6.165	urn:cite:hmt:vaimg.VA081RN-0082@0.10058954,0.68049793,0.15585851,0.03112033
urn:cts:greekLit:tlg5026.msAint.hmt:6.164	urn:cite:hmt:vaimg.VA081RN-0082@0.10390567,0.48838174,0.05195284,0.02780083
urn:cts:greekLit:tlg5026.msAint.hmt:6.163	urn:cite:hmt:vaimg.VA080VN-0583@0.87030214,0.64301521,0.02505527,0.02932227
urn:cts:greekLit:tlg5026.msAint.hmt:6.162	urn:cite:hmt:vaimg.VA080VN-0583@0.83714075,0.22503458,0.03242447,0.02323651
urn:cts:greekLit:tlg5026.msAint.hmt:5.2027	urn:cite:hmt:vaimg.VA068RN-0069@0.19675755,0.68395574,0.19749447,0.01120332
urn:cts:greekLit:tlg5026.msAint.hmt:5.6119	urn:cite:hmt:vaimg.VA067VN-0569@0.87472366,0.43706777,0.03610906,0.02213001
urn:cts:greekLit:tlg5026.msAint.hmt:5.6118	urn:cite:hmt:vaimg.VA067VN-0569@0.81687546,0.34661134,0.06484893,0.01466113
urn:cts:greekLit:tlg5026.msAint.hmt:5.6100	urn:cite:hmt:vaimg.VA067RN-0068@0.07737657,0.63319502,0.07074429,0.07385892
urn:cts:greekLit:tlg5026.msAint.hmt:5.6099	urn:cite:hmt:vaimg.VA067RN-0068@0.10943257,0.59280775,0.05637436,0.01936376
urn:cts:greekLit:tlg5026.msAint.hmt:5.6098	urn:cite:hmt:vaimg.VA067RN-0068@0.10611643,0.53278008,0.05490052,0.02489627
urn:cts:greekLit:tlg5026.msAint.hmt:5.6097	urn:cite:hmt:vaimg.VA067RN-0068@0.12085483,0.47966805,0.03647752,0.02074689
urn:cts:greekLit:tlg5026.msAint.hmt:5.6096	urn:cite:hmt:vaimg.VA067RN-0068@0.11532793,0.26417704,0.05600590,0.03457815
urn:cts:greekLit:tlg5026.msAint.hmt:5.6092	urn:cite:hmt:vaimg.VA066VN-0568@0.82719234,0.43845090,0.06042741,0.01964039
urn:cts:greekLit:tlg5026.msAint.hmt:5.6079	urn:cite:hmt:vaimg.VA066VN-0568@0.86293294,0.58672199,0.04826824,0.02130014
urn:cts:greekLit:tlg5026.msAint.hmt:5.6064	urn:cite:hmt:vaimg.VA066RN-0067@0.09469418,0.65062241,0.05158438,0.01991701
urn:cts:greekLit:tlg5026.msAint.hmt:5.6063	urn:cite:hmt:vaimg.VA066RN-0067@0.09948416,0.55435685,0.05784819,0.03125864
urn:cts:greekLit:tlg5026.msAint.hmt:5.6062	urn:cite:hmt:vaimg.VA066RN-0067@0.10316875,0.44177040,0.05232130,0.03845090
urn:cts:greekLit:tlg5026.msAint.hmt:5.6061	urn:cite:hmt:vaimg.VA066RN-0067@0.10316875,0.40359613,0.04347826,0.02213001
urn:cts:greekLit:tlg5026.msAint.hmt:5.6060	urn:cite:hmt:vaimg.VA066RN-0067@0.09579956,0.27939142,0.05158438,0.02019364
urn:cts:greekLit:tlg5026.msAint.hmt:5.6050	urn:cite:hmt:vaimg.VA065RN-0066@0.09432572,0.64591978,0.07406043,0.03706777
urn:cts:greekLit:tlg5026.msAint.hmt:5.6049	urn:cite:hmt:vaimg.VA065RN-0066@0.10169492,0.55297372,0.05932203,0.04647303
urn:cts:greekLit:tlg5026.msAint.hmt:5.6048	urn:cite:hmt:vaimg.VA065RN-0066@0.09616802,0.43485477,0.06448047,0.07109267
urn:cts:greekLit:tlg5026.msAint.hmt:5.6047	urn:cite:hmt:vaimg.VA065RN-0066@0.10390567,0.39917012,0.05674282,0.03928077
urn:cts:greekLit:tlg5026.msAint.hmt:5.6046	urn:cite:hmt:vaimg.VA065RN-0066@0.12122329,0.25228216,0.05121592,0.02130014
urn:cts:greekLit:tlg5026.msAint.hmt:5.6040	urn:cite:hmt:vaimg.VA064VN-0566@0.85851142,0.46666667,0.03868828,0.01410788
urn:cts:greekLit:tlg5026.msAint.hmt:5.6030	urn:cite:hmt:vaimg.VA064RN-0065@0.11053795,0.62627939,0.07406043,0.02295989
urn:cts:greekLit:tlg5026.msAint.hmt:5.6029	urn:cite:hmt:vaimg.VA064RN-0065@0.13596168,0.58589212,0.04384672,0.02019364
urn:cts:greekLit:tlg5026.msAint.hmt:5.6028	urn:cite:hmt:vaimg.VA064RN-0065@0.12859248,0.56320885,0.05674282,0.02157676
urn:cts:greekLit:tlg5026.msAint.hmt:5.6025	urn:cite:hmt:vaimg.VA063VN-0565@0.85077377,0.27579530,0.03574060,0.02130014
urn:cts:greekLit:tlg5026.msAint.hmt:5.6019	urn:cite:hmt:vaimg.VA063RN-0064@0.12011791,0.38008299,0.04753132,0.02351314
urn:cts:greekLit:tlg5026.msAint.hmt:5.6018	urn:cite:hmt:vaimg.VA063RN-0064@0.11569639,0.30982019,0.06116433,0.03651452
urn:cts:greekLit:tlg5026.msAint.hmt:5.6002	urn:cite:hmt:vaimg.VA062RN-0063@0.11348563,0.65062241,0.06226971,0.04564315
urn:cts:greekLit:tlg5026.msAint.hmt:5.6001	urn:cite:hmt:vaimg.VA062RN-0063@0.11422255,0.62876902,0.06263817,0.02213001
urn:cts:greekLit:tlg5026.msAint.hmt:5.6000	urn:cite:hmt:vaimg.VA062RN-0063@0.08142962,0.53139696,0.02100221,0.04536653
urn:cts:greekLit:tlg5026.msAint.hmt:5.5030	urn:cite:hmt:vaimg.VA080RN-0081@0.09801032,0.50954357,0.07037583,0.01272476
urn:cts:greekLit:tlg5026.msAint.hmt:5.5029	urn:cite:hmt:vaimg.VA080RN-0081@0.07700811,0.46556017,0.08400884,0.02378976
urn:cts:greekLit:tlg5026.msAint.hmt:5.5008	urn:cite:hmt:vaimg.VA079RN-0080@0.10519528,0.29266943,0.06392778,0.03291840
urn:cts:greekLit:tlg5026.msAint.hmt:5.4076	urn:cite:hmt:vaimg.VA078RN-0079@0.104642593957259,0.610511756569848,0.0840088430361091,0.131120331950207
urn:cts:greekLit:tlg5026.msAint.hmt:5.4075	urn:cite:hmt:vaimg.VA078RN-0079@0.126750184229919,0.465836791147994,0.0596904937361828,0.0365145228215768
