urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:95	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@μὲν[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:96	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@γὰρ[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:97	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@αἰσθήσει[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:98	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@,[4]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:99	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@κατὰ[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:100	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@πάθος[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:101	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@τὴν[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:102	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@πληγὴν[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:103	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@ἀντιλαμβανομένῃ[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:104	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@τῶν[2]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:105	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@προστυγχανόντων[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:106	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@,[5]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:107	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@ἴσως[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:108	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@ἀνάγκη[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:109	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@πᾶν[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:110	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@τὸ[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:111	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@φαινόμενον[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:112	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@,[6]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:113	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@ἄν[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:114	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@τε[2]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:115	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@χρήσιμον[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:116	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@ἄν[2]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:117	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@τ'[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:118	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@ἄχρηστον[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:119	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@ᾖ[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:120	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@,[7]
